subplotID,nestedID,x1,x2,y1,y2
21,1,0,3.16,0,3.16
21,4,16.84,20,16.84,20
21,pdExclusion,9,12,9,12
23,2,16.84,20,0,3.16
23,3,0,3.16,16.84,20
23,4,16.84,20,16.84,20
23,pdExclusion,8,11,9,12
23,pdExclusion,8,11,18,20
39,1,0,3.16,0,3.16
39,2,16.84,20,0,3.16
39,3,0,3.16,16.84,20
39,pdExclusion,9,12,0,2
39,pdExclusion,9,12,8,11
41,1,0,3.16,0,3.16
41,4,16.84,20,16.84,20
41,pdExclusion,8,11,8,11
