subplotID,nestedID,x1,x2,y1,y2
31,1,0,3.16,0,3.16
31,4,6.84,10,7,10
32,2,16.84,20,0,3.16
32,4,16.84,20,7,10
40,1,0,3.16,10,13
40,3,0,3.16,16.84,20
41,1,10,13.16,10,13
41,4,16.84,20,16.84,20
