"plotID","subplotID1","subplotID2"
"SCBI_067",39,41
"SCBI_045",39,21
"SCBI_046",41,21
"SCBI_047",23,39
"SCBI_048",41,39
"SCBI_049",41,23
"SCBI_050",23,39
"SCBI_051",41,39
"SCBI_052",41,23
"SCBI_053",39,23
"SCBI_054",41,39
"SCBI_055",39,23
"SCBI_056",23,21
"SCBI_057",21,23
"SCBI_058",39,23
"SCBI_061",39,23
"SCBI_062",23,41
"SCBI_063",23,41
"SCBI_064",39,41
"SCBI_066",39,21
