"clipID","subplotID","xCoord","yCoord","status","eventDate"
"HARV_034_828",41,3.7,7.5,"",""
"HARV_034_887",41,15.2,10.5,"",""
"HARV_034_847",41,13.2,7.5,"",""
"HARV_034_768",41,9.7,1.5,"",""
"HARV_034_818",41,16.7,4.5,"",""
"HARV_034_832",41,5.7,7.5,"",""
"HARV_034_796",41,5.7,4.5,"",""
"HARV_034_797",41,6.2,4.5,"",""
"HARV_034_945",41,8.2,16.5,"",""
"HARV_034_763",41,7.2,1.5,"",""
"HARV_034_936",41,3.7,16.5,"",""
"HARV_034_904",41,5.7,13.5,"",""
"HARV_034_824",41,1.7,7.5,"",""
"HARV_034_927",41,17.2,13.5,"",""
"HARV_034_862",41,2.7,10.5,"",""
"HARV_034_873",41,8.2,10.5,"",""
"HARV_034_808",41,11.7,4.5,"",""
"HARV_034_825",41,2.2,7.5,"",""
"HARV_034_790",41,2.7,4.5,"",""
"HARV_034_759",41,5.2,1.5,"",""
"HARV_034_820",41,17.7,4.5,"",""
"HARV_034_947",41,9.2,16.5,"",""
"HARV_034_937",41,4.2,16.5,"",""
"HARV_034_842",41,10.7,7.5,"",""
"HARV_034_863",41,3.2,10.5,"",""
"HARV_034_911",41,9.2,13.5,"",""
"HARV_034_762",41,6.7,1.5,"",""
"HARV_034_895",41,1.2,13.5,"",""
"HARV_034_789",41,2.2,4.5,"",""
"HARV_034_840",41,9.7,7.5,"",""
"HARV_034_935",41,3.2,16.5,"",""
"HARV_034_784",41,17.7,1.5,"",""
"HARV_034_875",41,9.2,10.5,"",""
"HARV_034_822",41,18.7,4.5,"",""
"HARV_034_885",41,14.2,10.5,"",""
"HARV_034_918",41,12.7,13.5,"",""
"HARV_034_868",41,5.7,10.5,"",""
"HARV_034_950",41,10.7,16.5,"",""
"HARV_034_814",41,14.7,4.5,"",""
"HARV_034_850",41,14.7,7.5,"",""
"HARV_034_853",41,16.2,7.5,"",""
"HARV_034_837",41,8.2,7.5,"",""
"HARV_034_769",41,10.2,1.5,"",""
"HARV_034_787",41,1.2,4.5,"",""
"HARV_034_856",41,17.7,7.5,"",""
"HARV_034_957",41,14.2,16.5,"",""
"HARV_034_889",41,16.2,10.5,"",""
"HARV_034_815",41,15.2,4.5,"",""
"HARV_034_961",41,16.2,16.5,"",""
"HARV_034_851",41,15.2,7.5,"",""
"HARV_034_779",41,15.2,1.5,"",""
