domain,site,mortonOrder,plotID,nlcdClass,plotType,subtype,module,designUtmX,designUtmY,designLong,designLat,designElevationMeters,2014
09,WOOD,8093,WOOD_055,,Tower,Base,Plant Productivity,481498.783564,5219689.313750,-99.24394959640,47.13044762150,586,x
09,WOOD,9929,WOOD_056,,Tower,Base,Plant Productivity,481378.783564,5219299.313750,-99.24551570400,47.12693483450,590,x
09,WOOD,10025,WOOD_057,,Tower,Base,Plant Productivity,481348.783564,5219599.313750,-99.24592368440,47.12963352960,589,x
09,WOOD,12445,WOOD_058,,Tower,Base,Plant Productivity,481588.783564,5219509.313750,-99.24275553370,47.12883041640,587,x
09,WOOD,12957,WOOD_059,,Tower,Base,Plant Productivity,481678.783564,5219599.313750,-99.24157254360,47.12964278820,583,x
09,WOOD,13213,WOOD_060,,Tower,Base,Plant Productivity,481558.783564,5219809.313750,-99.24316338950,47.13152912070,583,x
09,WOOD,13609,WOOD_061,,Tower,Base,Plant Productivity,481318.783564,5219419.313750,-99.24631176500,47.12801295380,590,x
09,WOOD,14237,WOOD_062,,Tower,Base,Plant Productivity,481588.783564,5219689.313750,-99.24276290360,47.13045014250,582,x
09,WOOD,15005,WOOD_063,,Tower,Base,Plant Productivity,481678.783564,5219749.313750,-99.24157865540,47.13099255990,582,x
09,WOOD,19613,WOOD_064,,Tower,Base,Plant Productivity,481558.783564,5219389.313750,-99.24314616510,47.12774975990,590,x
09,WOOD,21801,WOOD_065,,Tower,Base,Plant Productivity,481408.783564,5219419.313750,-99.24512512650,47.12801549920,586,x
09,WOOD,23453,WOOD_066,,Tower,Base,Plant Productivity,481438.783564,5219749.313750,-99.24474320170,47.13098584250,589,x
09,WOOD,25501,WOOD_067,,Tower,Base,Plant Productivity,481648.783564,5219809.313750,-99.24197667250,47.13153163360,582,x
09,WOOD,25757,WOOD_068,,Tower,Base,Plant Productivity,481498.783564,5219359.313750,-99.24393601950,47.12747812350,589,x
09,WOOD,26781,WOOD_069,,Tower,Base,Plant Productivity,481528.783564,5219509.313750,-99.24354663830,47.12882873720,586,x
09,WOOD,28969,WOOD_070,,Tower,Base,Plant Productivity,481348.783564,5219479.313750,-99.24591870730,47.12855371230,586,x
09,WOOD,30505,WOOD_071,,Tower,Base,Plant Productivity,481408.783564,5219629.313750,-99.24513380840,47.12990517960,590,x
09,WOOD,42281,WOOD_072,,Tower,Base,Plant Productivity,481378.783564,5219359.313750,-99.24551818830,47.12747474330,589,
