domain,site,mortonOrder,plotID,priority,nlcdClass,plotType,subType,module,plotDim,Design_POINT_X,Design_POINT_Y,Design Lat,Design Long,Design Height (m),2014
D05,UNDE,5990,UNDE_048,Target,NA,Tower,Base,Plant Productivity,40,304115.2405,5122976.5,46.23213172,-89.5404339,515,x
D05,UNDE,6054,UNDE_049,Target,NA,Tower,Base,Plant Productivity,40,304415.2405,5122796.5,46.23059967,-89.53647246,515,x
D05,UNDE,6502,UNDE_050,Target,NA,Tower,Base,Plant Productivity,40,304295.2405,5122676.5,46.2294862,-89.53797739,515,x
D05,UNDE,15206,UNDE_052,Target,NA,Tower,Base,Plant Productivity,40,303965.2405,5123096.5,46.23316742,-89.54242716,515,x
D05,UNDE,16806,UNDE_053,Target,NA,Tower,Base,Plant Productivity,40,304595.2405,5122766.5,46.23038168,-89.534128,515,x
D05,UNDE,29542,UNDE_054,Target,NA,Tower,Base,Plant Productivity,40,304355.2405,5122916.5,46.23166134,-89.53729956,515,x
D05,UNDE,41382,UNDE_055,Target,NA,Tower,Base,Plant Productivity,40,304445.2405,5122676.5,46.22952936,-89.53603407,515,x
D05,UNDE,83558,UNDE_056,Target,NA,Tower,Base,Plant Productivity,40,303905.2405,5122976.5,46.23207119,-89.54315467,515,x
D05,UNDE,109414,UNDE_057,Target,NA,Tower,Base,Plant Productivity,40,304085.2405,5123216.5,46.23428094,-89.54092223,515,x
D05,UNDE,119654,UNDE_058,Target,NA,Tower,Base,Plant Productivity,40,304235.2405,5122856.5,46.23108734,-89.53882939,515,x
D05,UNDE,175014,UNDE_059,Target,NA,Tower,Base,Plant Productivity,40,304715.2405,5122796.5,46.23068589,-89.53258573,511,x
D05,UNDE,186278,UNDE_060,Target,NA,Tower,Base,Plant Productivity,40,304475.2405,5122886.5,46.23142613,-89.53573241,515,x
D05,UNDE,205734,UNDE_061,Target,NA,Tower,Base,Plant Productivity,40,304535.2405,5123096.5,46.23333152,-89.53504204,515,x
D05,UNDE,230,UNDE_065,Contingency,NA,Tower,Tower,Plant Productivity,40,304655.2405,5123426.5,46.236333,-89.533624,515,x
