stemID,species,dbh.cm,xdist,ydist,Jenkins_type
210,THPL,78.3,351.3,229.47,cl
211,TSHE,14.1,351.16,230.17,tf
213,PSME,128.3,366.91,227.15,pm
214,TSHE,45.7,367.74,227.61,tf
215,TSHE,23.7,366.68,228.05,tf
216,TABR,6,357.39,231.84,tf
217,THPL,114,355.73,234.61,cl
218,TABR,6.7,356.11,236.68,tf
220,TSHE,24.9,360.02,237.27,tf
222,TABR,12.9,357.79,243.36,tf
223,TABR,11,354.73,247.3,tf
226,TSHE,35.7,357.92,247.7,tf
227,TSHE,41.1,368.89,233.7,tf
229,TABR,8.2,358.65,248.84,tf
230,TSHE,32.9,359.43,248.9,tf
231,PSME,121.9,370.34,234.05,pm
232,THPL,181.1,362.33,247.42,cl
233,TABR,21.4,365.73,247.28,tf
234,TABR,27.6,368.92,241.47,tf
235,TSHE,12,369.41,244.1,tf
236,TABR,15.4,370.73,247.44,tf
237,TSHE,82,372.68,241.32,tf
238,TABR,6.8,372.55,247.53,tf
239,TSHE,7.1,375.29,244.66,tf
241,TSHE,25.9,357.47,200.16,tf
242,PSME,138.5,370.23,201.35,pm
243,TSHE,7.7,353.01,202.57,tf
244,TABR,12.2,350.15,205.87,tf
245,TSHE,11.5,358.77,206.46,tf
246,TSHE,6.9,357.63,208.89,tf
247,TSHE,16,353.93,210.59,tf
248,TSHE,76.9,356.1,211.74,tf
249,TSHE,16.9,353.54,213.93,tf
250,TSHE,23.7,364.42,206.49,tf
251,TSHE,5.8,359.31,211.54,tf
252,TABR,7.4,352.62,218.04,tf
253,TSHE,21.1,357.83,217.2,tf
254,TSHE,50.5,356.81,221,tf
256,TSHE,21.8,365.2,214.43,tf
257,TSHE,31.8,365.3,215.54,tf
258,TSHE,60.5,372.46,203.72,tf
260,TSHE,93.7,365.8,217.59,tf
261,TSHE,18.2,369.23,211.55,tf
262,TSHE,13.4,370.28,211.14,tf
263,TABR,10,373.35,203.33,tf
265,PSME,124.9,315.11,276.71,pm
267,TSHE,60.9,313.29,278.11,tf
268,TSHE,94.3,305.74,281.35,tf
269,TSHE,35.9,310.17,281.88,tf
270,TSHE,13.7,309.19,282.47,tf
271,THPL,92.2,301.06,287.13,cl
