"clipID","subplotID","xCoord","yCoord","status","eventDate"
"STER_014_199",NA,10.2,16.5,"",""
"STER_014_210",NA,15.7,16.5,"",""
"STER_014_178",NA,17.7,13.5,"",""
"STER_014_153",NA,5.2,13.5,"",""
"STER_014_040",NA,2.7,4.5,"",""
"STER_014_075",NA,2.2,7.5,"",""
"STER_014_014",NA,7.7,1.5,"",""
"STER_014_125",NA,9.2,10.5,"",""
"STER_014_066",NA,15.7,4.5,"",""
"STER_014_038",NA,1.7,4.5,"",""
"STER_014_200",NA,10.7,16.5,"",""
"STER_014_150",NA,3.7,13.5,"",""
"STER_014_080",NA,4.7,7.5,"",""
"STER_014_139",NA,16.2,10.5,"",""
"STER_014_024",NA,12.7,1.5,"",""
"STER_014_140",NA,16.7,10.5,"",""
"STER_014_144",NA,18.7,10.5,"",""
"STER_014_091",NA,10.2,7.5,"",""
"STER_014_117",NA,5.2,10.5,"",""
"STER_014_177",NA,17.2,13.5,"",""
"STER_014_208",NA,14.7,16.5,"",""
"STER_014_020",NA,10.7,1.5,"",""
"STER_014_115",NA,4.2,10.5,"",""
"STER_014_093",NA,11.2,7.5,"",""
"STER_014_207",NA,14.2,16.5,"",""
"STER_014_074",NA,1.7,7.5,"",""
"STER_014_069",NA,17.2,4.5,"",""
"STER_014_114",NA,3.7,10.5,"",""
"STER_014_206",NA,13.7,16.5,"",""
"STER_014_053",NA,9.2,4.5,"",""
"STER_014_030",NA,15.7,1.5,"",""
"STER_014_167",NA,12.2,13.5,"",""
"STER_014_015",NA,8.2,1.5,"",""
"STER_014_188",NA,4.7,16.5,"",""
"STER_014_205",NA,13.2,16.5,"",""
