"clipID","subplotID","xCoord","yCoord","status","eventDate"
"CPER_073_064",NA,14.7,4.5,"",""
"CPER_073_179",NA,18.2,13.5,"",""
"CPER_073_042",NA,3.7,4.5,"",""
"CPER_073_162",NA,9.7,13.5,"",""
"CPER_073_211",NA,16.2,16.5,"",""
"CPER_073_048",NA,6.7,4.5,"",""
"CPER_073_053",NA,9.2,4.5,"",""
"CPER_073_136",NA,14.7,10.5,"",""
"CPER_073_096",NA,12.7,7.5,"",""
"CPER_073_204",NA,12.7,16.5,"",""
"CPER_073_017",NA,9.2,1.5,"",""
"CPER_073_095",NA,12.2,7.5,"",""
"CPER_073_060",NA,12.7,4.5,"",""
"CPER_073_180",NA,18.7,13.5,"",""
"CPER_073_057",NA,11.2,4.5,"",""
"CPER_073_140",NA,16.7,10.5,"",""
"CPER_073_078",NA,3.7,7.5,"",""
"CPER_073_025",NA,13.2,1.5,"",""
"CPER_073_072",NA,18.7,4.5,"",""
"CPER_073_037",NA,1.2,4.5,"",""
"CPER_073_173",NA,15.2,13.5,"",""
"CPER_073_118",NA,5.7,10.5,"",""
"CPER_073_083",NA,6.2,7.5,"",""
"CPER_073_170",NA,13.7,13.5,"",""
"CPER_073_205",NA,13.2,16.5,"",""
"CPER_073_059",NA,12.2,4.5,"",""
"CPER_073_123",NA,8.2,10.5,"",""
"CPER_073_199",NA,10.2,16.5,"",""
"CPER_073_151",NA,4.2,13.5,"",""
"CPER_073_201",NA,11.2,16.5,"",""
"CPER_073_141",NA,17.2,10.5,"",""
"CPER_073_143",NA,18.2,10.5,"",""
"CPER_073_062",NA,13.7,4.5,"",""
"CPER_073_194",NA,7.7,16.5,"",""
"CPER_073_027",NA,14.2,1.5,"",""
"CPER_073_156",NA,6.7,13.5,"",""
"CPER_073_094",NA,11.7,7.5,"",""
"CPER_073_121",NA,7.2,10.5,"",""
"CPER_073_066",NA,15.7,4.5,"",""
"CPER_073_138",NA,15.7,10.5,"",""
"CPER_073_191",NA,6.2,16.5,"",""
"CPER_073_008",NA,4.7,1.5,"",""
"CPER_073_145",NA,1.2,13.5,"",""
"CPER_073_161",NA,9.2,13.5,"",""
"CPER_073_031",NA,16.2,1.5,"",""
"CPER_073_124",NA,8.7,10.5,"",""
"CPER_073_021",NA,11.2,1.5,"",""
"CPER_073_171",NA,14.2,13.5,"",""
"CPER_073_028",NA,14.7,1.5,"",""
"CPER_073_100",NA,14.7,7.5,"",""
"CPER_073_103",NA,16.2,7.5,"",""
"CPER_073_020",NA,10.7,1.5,"",""
"CPER_073_058",NA,11.7,4.5,"",""
"CPER_073_079",NA,4.2,7.5,"",""
"CPER_073_167",NA,12.2,13.5,"",""
"CPER_073_013",NA,7.2,1.5,"",""
"CPER_073_195",NA,8.2,16.5,"",""
"CPER_073_043",NA,4.2,4.5,"",""
"CPER_073_155",NA,6.2,13.5,"",""
"CPER_073_120",NA,6.7,10.5,"",""
"CPER_073_074",NA,1.7,7.5,"",""
"CPER_073_147",NA,2.2,13.5,"",""
"CPER_073_065",NA,15.2,4.5,"",""
"CPER_073_007",NA,4.2,1.5,"",""
"CPER_073_070",NA,17.7,4.5,"",""
"CPER_073_160",NA,8.7,13.5,"",""
"CPER_073_164",NA,10.7,13.5,"",""
